month,regime,position_scale,avg_corr,nifty_vol,n_long,n_short,long_portfolio,short_portfolio,long_return_gross,long_return_net,ls_spread_net,turnover,nifty_return
2021-04,normal,0.858,0.3962,0.1961,8,8,"ADANIPORTS.NS, HINDALCO.NS, TECHM.NS, BHARTIARTL.NS, TATASTEEL.NS, M&M.NS, HEROMOTOCO.NS, TATACONSUM.NS","SBILIFE.NS, BAJAJ-AUTO.NS, CIPLA.NS, DRREDDY.NS, APOLLOHOSP.NS, WIPRO.NS, BPCL.NS, COALINDIA.NS",0.07330202519235736,0.060480012615042614,-0.028311054983048506,0.9375,0.09320224705704565
2021-05,normal,0.824,0.3009,0.2072,8,8,"TECHM.NS, INFY.NS, TCS.NS, TATASTEEL.NS, SUNPHARMA.NS, POWERGRID.NS, HCLTECH.NS, HINDALCO.NS","AXISBANK.NS, ULTRACEMCO.NS, ASIANPAINT.NS, ONGC.NS, EICHERMOT.NS, NTPC.NS, ICICIBANK.NS, ITC.NS",0.038299556196397425,0.02955033430583148,0.01454414727543173,0.8125,0.02383085623065369
2021-06,normal,1.0,0.1741,0.1311,10,10,"TATASTEEL.NS, DRREDDY.NS, SUNPHARMA.NS, BAJFINANCE.NS, TATACONSUM.NS, M&M.NS, TITAN.NS, KOTAKBANK.NS, ICICIBANK.NS, INDUSINDBK.NS","BAJAJFINSV.NS, ITC.NS, HINDUNILVR.NS, TCS.NS, SHREECEM.NS, INFY.NS, UPL.NS, NESTLEIND.NS, MARUTI.NS, BRITANNIA.NS",0.05618833327095003,0.053788333270950034,0.03379771021254157,0.8,0.0448156786773491
2021-07,normal,1.0,0.1055,0.0728,10,10,"HINDALCO.NS, TATASTEEL.NS, KOTAKBANK.NS, EICHERMOT.NS, HINDUNILVR.NS, SUNPHARMA.NS, TATACONSUM.NS, MARUTI.NS, NTPC.NS, HDFCBANK.NS","UPL.NS, HEROMOTOCO.NS, APOLLOHOSP.NS, ULTRACEMCO.NS, BRITANNIA.NS, GRASIM.NS, BAJFINANCE.NS, SBIN.NS, ITC.NS, NESTLEIND.NS",0.07948535004708497,0.07768535004708498,-0.004781269996376444,0.6,0.09334485065522007
2021-08,normal,1.0,0.1196,0.0919,10,10,"TATASTEEL.NS, DRREDDY.NS, EICHERMOT.NS, HINDALCO.NS, TATACONSUM.NS, BHARTIARTL.NS, TITAN.NS, KOTAKBANK.NS, ULTRACEMCO.NS, DIVISLAB.NS","NESTLEIND.NS, HCLTECH.NS, ASIANPAINT.NS, HINDUNILVR.NS, INDUSINDBK.NS, ICICIBANK.NS, LT.NS, BPCL.NS, ITC.NS, TCS.NS",0.06535144438631044,0.06310144438631043,0.0059684462192573645,0.75,0.06379722329183862
2021-09,normal,1.0,0.1531,0.0923,10,10,"TATACONSUM.NS, GRASIM.NS, DIVISLAB.NS, TATASTEEL.NS, TECHM.NS, WIPRO.NS, ICICIBANK.NS, APOLLOHOSP.NS, INFY.NS, SUNPHARMA.NS","HINDALCO.NS, BAJAJ-AUTO.NS, BAJFINANCE.NS, POWERGRID.NS, COALINDIA.NS, HDFCBANK.NS, KOTAKBANK.NS, ITC.NS, BAJAJFINSV.NS, SBIN.NS",0.06469948560973623,0.06259948560973623,0.06322821656453251,0.7,0.018337915529188575
2021-10,normal,1.0,0.1515,0.0971,10,10,"TATACONSUM.NS, NTPC.NS, JSWSTEEL.NS, TATASTEEL.NS, APOLLOHOSP.NS, ASIANPAINT.NS, POWERGRID.NS, BHARTIARTL.NS, CIPLA.NS, SHREECEM.NS","KOTAKBANK.NS, SBIN.NS, ONGC.NS, AXISBANK.NS, BPCL.NS, BAJAJ-AUTO.NS, COALINDIA.NS, HDFCBANK.NS, INDUSINDBK.NS, MARUTI.NS",0.011102700575721935,0.009002700575721936,0.06335399030152473,0.7,-0.011144060013276514
2021-11,normal,1.0,0.2013,0.1307,10,10,"DIVISLAB.NS, ICICIBANK.NS, LT.NS, M&M.NS, HCLTECH.NS, COALINDIA.NS, JSWSTEEL.NS, TCS.NS, DRREDDY.NS, HINDUNILVR.NS","BAJFINANCE.NS, SBIN.NS, ONGC.NS, HEROMOTOCO.NS, SHREECEM.NS, BPCL.NS, INDUSINDBK.NS, NESTLEIND.NS, SBILIFE.NS, BRITANNIA.NS",0.0669596176213418,0.0645596176213418,-0.003733015775702217,0.8,0.06367079001939607
2021-12,normal,0.966,0.3059,0.161,9,9,"BHARTIARTL.NS, RELIANCE.NS, JSWSTEEL.NS, KOTAKBANK.NS, ADANIPORTS.NS, APOLLOHOSP.NS, M&M.NS, COALINDIA.NS, AXISBANK.NS","WIPRO.NS, INFY.NS, HINDALCO.NS, ASIANPAINT.NS, SHREECEM.NS, BRITANNIA.NS, HINDUNILVR.NS, DRREDDY.NS, CIPLA.NS",0.00039101084237225557,-0.0018762835262684007,0.06730913289826188,0.7777777777777777,-0.020239106431845025
2022-01,normal,0.95,0.4651,0.1662,9,9,"TITAN.NS, TATASTEEL.NS, TATACONSUM.NS, JSWSTEEL.NS, SUNPHARMA.NS, ULTRACEMCO.NS, INDUSINDBK.NS, ASIANPAINT.NS, APOLLOHOSP.NS","TECHM.NS, HEROMOTOCO.NS, BAJAJ-AUTO.NS, TCS.NS, COALINDIA.NS, SBIN.NS, MARUTI.NS, KOTAKBANK.NS, ONGC.NS",0.026152588413470085,0.022469958992796583,0.06653197286022092,0.8333333333333333,-0.026983717453787876
